label,review
1,First I pull up to the right window and they serve the left side instead even though I was first Then my person took forever taking my order that another 2 people went through on the other window when I was done ordering she said is that all and I said yes then nothing No confirmation screen no total no please pull forward She never came back so I just took off I was like hello  Did you get that  You there  McDonalds  quarter pounder  If you cant handle operating 2 drive thrus Stick to one until you get it figured out OR hire people with some kind of skill Its not that difficult to take an order now
2,Chicken Sharwarma is amazing  I get the chx sharwarma sand its in a pitaand hummus on the sidennVery cool small joint family run enough said  Very good food
2,I love this place I wish i could make it there more often Turkey club is my favorite 
1,Theres not enough meat in the pho u can get double the amount of meat in Chinatown LV Too much cinnamon and star anise in the broth Id much rather drive the distance to Chinatown to get my moneys worth They better change that or they wont be in business long
1,Probably the most bland Italian food in the University area Not impressed
1,Went here with two of my girlfriends bc they got their free vouchers I was starving and needed something to eat after drinking at the pool so I paid 30 for below mediacore food The food was dried and bland The only thing I can eat much of is their peeled shrimp and crab legs because I can squeeze some lemon on it to make it taste decent  Now I have to give them 4 stars on their dessert bar so they got something going for them Other than than not going back
1,When an event is crowded I take it as a sign of success but when its congested like this one was I see it as a sign of negligent management or worse greed The solution is as simple as selling a limited number of tickets ahead of time obviously the organizers are not interested in that instead they boast of attendances of 40 and 50 thousands for the event Thats just crazy  nnUnfortunately Charlotteans must be really starved for street festivals since they oblige year in and year out I dont know Id get if this was a free Rolling Stones concert or another once in a lifetime event  but for Greek folk dancing gyros and stuff nnSince its a community event rather than a purely commercial venture I gave it an extra star
1,This company is horrible and need to change their business name to Dishonest Tech Carpet Care They are nothing but scam artists  Honest is what they are not I got their couponad55 for carpet cleaning for 4 rooms plus hallway with customer satisfaction stated on their coupon ad  My carpet is still in really good shape since we dont wear shoes in our house But who would pass up a great deal to give their carpet some tlc  What a waste of my time and day  I dont wantlike to be judgmental but from the moment I greeted the guy at the door he already seemed shady  He wasnt even in uniformhe was wearing street clothes with his pants all sagging  From the start I showed him the coupon and told him I just wanted the 55 dealto avoid any up selling He said thats only to steam clean I told him thats fine As he went room to room he tried to bs me and told me that I needed to deep clean two of the rooms because theres some discoloration and if he only steam clean it wouldnt look goodeven after it dries He offered to deep clean all the rooms for 279 if I paid with cash I seriously LOL After I said No I only want what the coupon states He walked away and pretended to call his boss and told me he had lied to his boss that Im a regular customer and got permission to do it for 189  After seeing that Im still not interested he said hell do it for 149 At that point I wouldnt trust this guy in my house if he worked for free I told him No thanks And walked him out Twenty minutes later I got a call from his boss but told him I was busy and couldnt talk These guys have no shame nor integrity
2,Rarely do you find a spot that everything you eat is great  Will be going back soon for moreespecially the veggie board
2,i like keegans  its a small chain in phoenix  they also have one on camelback and another in queen creek  the food is quality for the most part  its american style with some original twists  the grilled chicken sandwich has a marinated cucumber on it and its such a nice touch and really makes the sandwich  also if you order a salad make sure you order the lime ginger vinaigrette dressing  its homemade delciousness  nnthe peach cobbler is to die for and so is the mudpie  nni used to work here years ago and the place is clean and the chefs know what theyre doing  so i may be biased to keegans
2,Great venue for music not a bad seat in the house We sat 90 degreas to the stage and it sounded great This has become my go to Phoenix Blues
1,to be fair this place is pretty nice with its convenient location and cutely decorated rooms nnHOWEVER theres a few major problems that ive hadn1 there was no room service at all only the trash was taken out on the first day and that was done upon request nn2 it gets very noisy because the house is not very soundproof Even the sound of someone walking in the hallway can be heard very clearly in our room nn3 the receptionist was very rude and unprofessional there was a mistake in our reservation so the check out date was somehow one day earlier than our plan The receptionist called us and basically told us that we had to move out in a very rude way claiming that there was absolutely no way we couldve made the reservation When we went to sort the situation out she said it had nothing to do with her and that the mistake was on our part When I told her that she was being extremely rude she crossed her arm and said sarcastically how do you want me to talk to you nnOverall very unpleasant would never stay again
1,Husband ordered calamari  tasted like the oil was very old   Watched waiter bring our food to table next to us and then take it back to kitchenthen they brought us both salads with OLD BROWN lettuce    Seriously that was a first for me  I have never been served spoiled lettuce at a restaurant     Hubby had salmon and said the flavor was good   I had stuffed pork loin special which was good with the exception of the side of pasta with pink disgusting sauce on it   What a disappointment
1,This is a PTs  Says nothing about PTs on the outside  On the inside it is all PTs  So you get that crappy PT food when you are expecting something different I felt swindled  nnI read somewhere that this is a high end PT  High end That is like saying Popeyes is a highend KFC  nnAnd the food is overpriced  nnNothing special
1,Downgrade and bewarenLadies and Gentlemen introducing Water Chestnuts as the new vegetable filler at this China One location nnThere were no less than 20 pieces of water chestnut filler in my usual Chicken wHot Garlic Sauce And the sudden absence of red bell pepper and only 3 or 4 pieces of green bell pepper in my dish Run away from this location This is the equivalent of You probably think I wont notice and next week you will add 20 pieces of Baby Corn and remove all nutritious and costly vegetable ingredients altogethernnFunny we decided to go back to the West Charleston location for the first time in a year because we happened to have some business to attend to in the vicinity Mistake Going back to the 921 S Rainbow location and never looking back The South Rainbow store has maintained the quality of ingredients that the China One brand is known fornnI hate when this stuff happens
2,Amazing food selection very quality too Good service Dont judge this book by its cover Building exterior was REALLY ugly when I was there
1,Ive never seen so many old shoes in all my life
2,Great Atmosphere Beer cart outside while we waited for our outdoor table by the fountain Live band playedit was Fridaythey have live bands on Friday and Saturday nightnnPizza was goodlots of varietybrick oven stylethin crustlike California Pizza Kitchen type Pasta was good We had the spinach and artichoke appetizer and it was good but more dippers were needednnCasuallet our party linger over drinks etc
2,Service and food were above and beyond what I expected This is now my favorite Lindo Michoacan location nnThe guacamole here is great They have a certain way of doing it but you can feel free to make a suggestion about certain ingredients to cater to your liking i let them do their thing and it never disappointsnnThe food was great we had a Chile Relleno Tamale combo The Chile Relleno was really good The pepper was cooked just right nice and tender but not mushy The stuffing in the Chile was delicious The Tamale was great a beef tamale and I could just sit there and eat that all nightnnWe also ordered a Gallo al Mojo de Ajo It was a chicken breast cooked in a garlic wine sauce I cut up that chicken tossed it in a flour tortilla with the rice beans and guacamole and I was happy Also ordered a Tamale with that I think that is going to be a permanent a la carte order from now onnnUp next was the Banderillas de Torro Grilled Beef skewers with onion and green red and yellow peppers A little tough on the meat but tons of flavor Good stuffnnService is half of the experience for me I can go somewhere with excellent food but if the service is lacking its ruined or I can go somewhere where the food is OK but as long as the service is great I will have a good experience This place is a no brainer if youre in the mood for good Mexican food and excellent service
2,Good burgers and EXCELLENT shakes
2,What an amazing amount of land It used to be a golf course Wow Has anyone thought about building a disc golf course on the property Its very cheap environmentally friendly and with that much area could be considered a championship style course if it was designed right
